"STATION","DATE","PRCP","TMAX","TMIN"
"USW00094290","1995-03-25","0.00","52","33"
"USW00094290","1995-03-26","0.00","55","33"
"USW00094290","1995-03-27","0.00","60","35"
"USW00094290","1995-03-28","0.00","67","38"
"USW00094290","1995-03-29","0.00","67","38"
"USW00094290","1995-03-30","0.00","71","40"
"USW00094290","1995-03-31","0.08","61","44"
"USW00094290","1995-04-01","0.07","58","42"
"USW00094290","1995-04-02","0.00","60","46"
"USW00094290","1995-04-03","0.00","66","43"
"USW00094290","1995-04-04","0.17","52","45"
"USW00094290","1995-04-05","0.00","55","38"
"USW00094290","1995-04-06","0.10","58","43"
"USW00094290","1995-04-07","0.58","58","43"
"USW00094290","1995-04-08","0.12","55","43"
"USW00094290","1995-04-09","0.00","56","42"
"USW00094290","1995-04-10","0.28","51","41"
"USW00094290","1995-04-11","0.00","56","43"
"USW00094290","1995-04-12","0.33","50","42"
"USW00094290","1995-04-13","0.41","55","40"
"USW00094290","1995-04-14","0.08","51","40"
"USW00094290","1995-04-15","0.00","56","38"
"USW00094290","1995-04-16","0.00","62","36"
"USW00094290","1995-04-17","0.29","53","41"
"USW00094290","1995-04-18","0.13","55","40"
"USW00094290","1995-04-19","0.00","53","40"
"USW00094290","1995-04-20","0.12","57","42"
"USW00094290","1995-04-21","0.00","59","45"
"USW00094290","1995-04-22","0.00","64","41"
"USW00094290","1995-04-23","0.00","64","43"
"USW00094290","1995-04-24","0.00","66","40"
"USW00094290","1995-04-25","0.00","68","43"
"USW00094290","1995-04-26","0.00","72","42"
"USW00094290","1995-04-27","0.00","68","49"
"USW00094290","1995-04-28","0.00","58","49"
"USW00094290","1995-04-29","0.06","67","47"
"USW00094290","1995-04-30","0.01","65","51"
"USW00094290","1995-05-01","0.20","59","50"
"USW00094290","1995-05-02","0.21","59","49"
"USW00094290","1995-05-03","0.00","62","49"
"USW00094290","1995-05-04","0.00","64","48"
"USW00094290","1995-05-05","0.06","60","50"
"USW00094290","1995-05-06","0.00","62","51"
"USW00094290","1995-05-07","0.00","64","50"
"USW00094290","1995-05-08","0.00","67","51"
"USW00094290","1995-05-09","0.12","62","50"
"USW00094290","1995-05-10","0.02","62","50"
"USW00094290","1995-05-11","0.20","58","46"
"USW00094290","1995-05-12","0.00","63","43"
"USW00094290","1995-05-13","0.00","71","51"
"USW00094290","1995-05-14","0.00","80","51"
"USW00094290","1995-05-15","0.00","76","54"
"USW00094290","1995-05-16","0.00","61","52"
"USW00094290","1995-05-17","0.00","58","49"
"USW00094290","1995-05-18","0.00","65","48"
"USW00094290","1995-05-19","0.00","71","47"
"USW00094290","1995-05-20","0.00","76","47"
"USW00094290","1995-05-21","0.00","76","51"
"USW00094290","1995-05-22","0.00","79","52"
"USW00094290","1995-05-23","0.00","77","51"
"USW00094290","1995-05-24","0.00","80","50"
"USW00094290","1995-05-25","0.00","81","54"
"USW00094290","1995-05-26","0.00","81","54"
"USW00094290","1995-05-27","0.00","76","50"
"USW00094290","1995-05-28","0.00","82","51"
"USW00094290","1995-05-29","0.00","84","55"
"USW00094290","1995-05-30","0.00","79","54"
"USW00094290","1995-05-31","0.00","75","51"
"USW00094290","1995-06-01","0.00","74","50"
"USW00094290","1995-06-02","0.00","71","52"
"USW00094290","1995-06-03","0.00","76","51"
"USW00094290","1995-06-04","0.12","66","51"
"USW00094290","1995-06-05","0.30","60","47"
"USW00094290","1995-06-06","0.02","57","47"
"USW00094290","1995-06-07","0.00","76","50"
"USW00094290","1995-06-08","0.00","77","53"
"USW00094290","1995-06-09","0.00","84","53"
"USW00094290","1995-06-10","0.50","60","57"
"USW00094290","1995-06-11","0.00","68","52"
"USW00094290","1995-06-12","0.16","69","52"
"USW00094290","1995-06-13","0.00","65","53"
"USW00094290","1995-06-14","0.05","65","53"
"USW00094290","1995-06-15","0.00","71","53"
"USW00094290","1995-06-16","0.00","64","54"
"USW00094290","1995-06-17","0.26","65","52"
"USW00094290","1995-06-18","0.00","68","50"
"USW00094290","1995-06-19","0.00","65","53"
"USW00094290","1995-06-20","0.03","62","53"
"USW00094290","1995-06-21","0.00","67","54"
"USW00094290","1995-06-22","0.00","74","55"
"USW00094290","1995-06-23","0.00","78","55"
"USW00094290","1995-06-24","0.00","76","55"
"USW00094290","1995-06-25","0.00","75","54"
"USW00094290","1995-06-26","0.00","75","53"
"USW00094290","1995-06-27","0.00","80","54"
"USW00094290","1995-06-28","0.00","85","57"
"USW00094290","1995-06-29","0.00","87","60"
"USW00094290","1995-06-30","0.00","92","61"
"USW00094290","1995-07-01","0.02","66","58"
"USW00094290","1995-07-02","0.32","66","51"
"USW00094290","1995-07-03","0.05","69","53"
"USW00094290","1995-07-04","0.00","68","51"
"USW00094290","1995-07-05","0.68","70","54"
"USW00094290","1995-07-06","0.00","75","55"
"USW00094290","1995-07-07","0.00","77","56"
"USW00094290","1995-07-08","0.00","74","54"
"USW00094290","1995-07-09","0.00","79","53"
"USW00094290","1995-07-10","0.00","81","52"
"USW00094290","1995-07-11","0.00","81","54"
"USW00094290","1995-07-12","0.00","79","52"
"USW00094290","1995-07-13","0.00","80","54"
"USW00094290","1995-07-14","0.00","73","55"
"USW00094290","1995-07-15","0.00","79","57"
"USW00094290","1995-07-16","0.00","83","56"
"USW00094290","1995-07-17","0.00","77","58"
"USW00094290","1995-07-18","0.00","76","60"
"USW00094290","1995-07-19","0.00","83","58"
"USW00094290","1995-07-20","0.00","96","62"
"USW00094290","1995-07-21","0.00","88","64"
"USW00094290","1995-07-22","0.00","90","63"
"USW00094290","1995-07-23","0.00","84","63"
"USW00094290","1995-07-24","0.00","83","61"
"USW00094290","1995-07-25","0.00","75","60"
"USW00094290","1995-07-26","0.00","78","54"
"USW00094290","1995-07-27","0.00","84","55"
"USW00094290","1995-07-28","0.00","76","56"
"USW00094290","1995-07-29","0.00","73","59"
"USW00094290","1995-07-30","0.00","76","59"
"USW00094290","1995-07-31","0.00","79","54"
"USW00094290","1995-08-01","0.00","77","57"
"USW00094290","1995-08-02","0.00","78","56"
"USW00094290","1995-08-03","0.00","78","59"
"USW00094290","1995-08-04","0.00","82","58"
"USW00094290","1995-08-05","0.00","67","57"
"USW00094290","1995-08-06","0.64","64","55"
"USW00094290","1995-08-07","0.15","63","53"
"USW00094290","1995-08-08","0.00","70","56"
"USW00094290","1995-08-09","0.00","74","52"
"USW00094290","1995-08-10","0.12","63","56"
"USW00094290","1995-08-11","0.15","71","57"
"USW00094290","1995-08-12","0.17","64","55"
"USW00094290","1995-08-13","0.00","73","51"
"USW00094290","1995-08-14","0.00","64","49"
"USW00094290","1995-08-15","0.00","66","54"
"USW00094290","1995-08-16","0.41","66","54"
"USW00094290","1995-08-17","0.88","65","52"
"USW00094290","1995-08-18","0.02","70","55"
"USW00094290","1995-08-19","0.00","73","58"
"USW00094290","1995-08-20","0.00","79","53"
"USW00094290","1995-08-21","0.00","74","56"
"USW00094290","1995-08-22","0.00","74","55"
"USW00094290","1995-08-23","0.00","69","52"
"USW00094290","1995-08-24","0.00","70","54"
"USW00094290","1995-08-25","0.00","70","51"
